"178498142: No more than 2-3 sentences
Pick a game of your choosing (board game, card game, video game, etc.). Think of two clear metrics you might be effective as rewards or penalties for an RL agent being trained to play this game. Briefly justify why you think each metric might be effective.","178498161: No more than 2-3 sentences
For the game you picked in question #1, provide an example that clearly illustrates a situation where it might be beneficial for your agent to prioritize exploration over exploitation. Briefly explain your reasoning.","178498165: No more than 2-3 sentences
List 2 potential challenges with implementing an RL agent for the game you chose in question #1. Briefly explain the problem / concern that each present."
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus."
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus."
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus."
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.
","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet efficitur nunc. Fusce fringilla, diam ac sagittis consequat, enim metus hendrerit quam, sit amet condimentum purus enim a erat. Suspendisse quis mi sed purus sodales hendrerit id quis urna. Pellentesque a ligula ac dolor vulputate congue a in mauris. Donec luctus nibh vel porttitor condimentum. Mauris tempus mi nec ex porta, quis blandit urna malesuada. Pellentesque vestibulum, leo sit amet finibus tincidunt, ligula tortor egestas mi, vel accumsan purus nunc vitae neque. Mauris sit amet convallis purus."
,,
,,
,,
,,
,,
